Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0246546252283572,-0.0150156534448461,0.00837382744618125,0,0,0,0.142896121980389,0.000172848056043176,-2.56147282967753E-07,-9.21158957979319E-09,0.000139660707244487,-2.60840607484691E-06,0.000290099857074405,0,0,0,0,0,0,package://tail/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tail/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,2.08166817117217E-17,1.07552855510562E-16,0.001,0,0,0,0.00240331837999615,2.45269832602438E-07,5.9311449081908E-22,-7.57306469012188E-27,2.45269832602435E-07,8.83524213847455E-27,4.88937452951542E-07,0,0,0,0,0,0,package://tail/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tail/meshes/link1.STL,,tail40-10,Origin_joint12,,joint1,fixed,-0.024617,-0.063,-0.0043246,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
link2,2.08166817117217E-17,1.07552855510562E-16,0.00100000000000001,0,0,0,0.00240331837999615,2.45269832602438E-07,5.93316439210817E-22,-7.57306469012188E-27,2.45269832602435E-07,8.83524213847455E-27,4.88937452951542E-07,0,0,0,0,0,0,package://tail/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tail/meshes/link2.STL,,tail40-11,Origin_joint22,Axis_joint2,joint2,fixed,0,0,0.03,0,0,0,link1,0,0,0,,,,,,,,,,,,
link3,2.08166817117217E-17,1.0842021724855E-16,0.000999999999999987,0,0,0,0.00240331837999613,2.45269832602436E-07,5.92811568231475E-22,-1.48305850177636E-26,2.45269832602433E-07,-1.27795466627806E-26,4.88937452951538E-07,0,0,0,0,0,0,package://tail/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tail/meshes/link3.STL,,tail40-12,Origin_joint32,Axis_joint3,joint3,fixed,0,0,0.03,0,0,0,link2,0,0,0,,,,,,,,,,,,
link4,2.08166817117217E-17,1.07552855510562E-16,0.001,0,0,0,0.00240331837999615,2.45269832602438E-07,5.9311449081908E-22,-7.57306469012188E-27,2.45269832602435E-07,8.83524213847455E-27,4.88937452951542E-07,0,0,0,0,0,0,package://tail/meshes/link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tail/meshes/link4.STL,,tail40-13,Origin_joint4,Axis_joint4,joint4,fixed,0,0,0.03,0,0,0,link3,0,0,0,,,,,,,,,,,,
link5,-0.001,5.98479599211998E-17,-6.93889390390723E-18,0,0,0,0.00134617245206321,1.56230813614397E-07,3.786532345048E-27,7.57306469012369E-27,7.85641309578857E-08,-1.06426802445178E-22,7.85641309578864E-08,0,0,0,0,0,0,package://tail/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tail/meshes/link5.STL,,tail30-4,座標系7,Axis_joint5,joint5,continuous,0,0,0.032,3.14159265358979,-1.5707963267949,0,link4,1,0,0,,,,,,,,,,,,
link6,-0.000999999999999973,5.98479599211998E-17,-6.93889390390723E-18,0,0,0,0.00134617245206321,1.56230813614397E-07,3.786532345048E-27,7.57306469012369E-27,7.85641309578857E-08,-1.06426802445178E-22,7.85641309578864E-08,0,0,0,0,0,0,package://tail/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tail/meshes/link6.STL,,tail30-5,座標系8,Axis_joint6,joint6,fixed,0.03,0,0,0,0,0,link5,0,0,0,,,,,,,,,,,,
link7,-0.001,9.80118763926896E-17,-1.73472347597681E-17,0,0,0,0.00083723444218166,6.23317507912513E-08,3.78653234505031E-27,7.57306469012324E-27,3.14449535430192E-08,-1.06376315347244E-22,3.14449535430199E-08,0,0,0,0,0,0,package://tail/meshes/link7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tail/meshes/link7.STL,,tail24-5,座標系9,Axis_joint7,joint7,continuous,0.03,0,0,0,0,0,link6,1,0,0,,,,,,,,,,,,
link8,-0.001,9.80118763926896E-17,-1.73472347597681E-17,0,0,0,0.00083723444218166,6.23317507912513E-08,3.78653234505015E-27,7.57306469012327E-27,3.14449535430192E-08,-1.06376315347244E-22,3.14449535430199E-08,0,0,0,0,0,0,package://tail/meshes/link8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tail/meshes/link8.STL,,tail24-6,座標系10,Axis_joint8,joint8,fixed,0.03,0,0,0,0,0,link7,0,0,0,,,,,,,,,,,,
link9,-0.000999999999999945,9.80118763926896E-17,-1.73472347597681E-17,0,0,0,0.00083723444218166,6.23317507912513E-08,3.78653234505015E-27,7.57306469012327E-27,3.14449535430192E-08,-1.06376315347244E-22,3.14449535430199E-08,0,0,0,0,0,0,package://tail/meshes/link9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://tail/meshes/link9.STL,,tail24-7,座標系11,Axis_joint9,joint9,fixed,0.03,0,0,0,0,0,link8,0,0,0,,,,,,,,,,,,
